FIPS,YEAR,unemp_rate
12109,2011,7.9
12111,2021,5.0
12111,2020,8.0
12111,2019,4.0
12111,2018,4.4
12111,2017,5.1
12111,2016,5.8
12111,2015,6.4
12111,2014,8.3
12111,2013,10.4
12111,2012,11.3
12111,2011,12.8
12113,2021,3.6
12113,2020,5.5
12113,2019,3.1
12113,2018,3.4
12113,2017,4.0
12113,2016,4.6
12113,2015,4.9
12113,2014,5.7
12113,2013,6.7
12113,2012,7.8
12113,2011,8.8
12115,2021,4.1
12115,2020,7.3
12115,2019,3.3
12115,2018,3.6
12115,2017,4.1
12115,2016,4.7
12115,2015,5.1
12115,2014,6.1
12115,2013,7.3
12115,2012,8.7
12115,2011,10.4
12117,2021,4.1
12117,2020,7.4
12117,2019,2.9
12117,2018,3.2
12117,2017,3.7
12117,2016,4.2
12117,2015,5.0
12117,2014,5.9
12117,2013,7.0
12117,2012,8.4
12117,2011,9.8
12119,2021,6.3
12119,2020,9.4
12119,2019,5.4
12119,2018,6.0
12119,2017,7.0
12119,2016,8.2
12119,2015,7.8
12119,2014,8.7
12119,2013,9.7
12119,2012,10.9
12119,2011,12.4
12121,2021,4.7
12121,2020,6.0
12121,2019,3.4
12121,2018,3.8
12121,2017,4.3
12121,2016,4.9
12121,2015,5.5
12121,2014,6.6
12121,2013,7.2
12121,2012,8.3
12121,2011,9.4
12123,2021,6.8
12123,2020,8.6
12123,2019,4.8
12123,2018,5.1
12123,2017,5.9
12123,2016,6.9
12123,2015,6.8
12123,2014,7.1
12123,2013,8.2
12123,2012,9.3
12123,2011,10.2
12125,2021,4.8
12125,2020,5.8
12125,2019,3.6
12125,2018,4.0
12125,2017,4.4
12125,2016,5.1
12125,2015,4.9
12125,2014,6.2
12125,2013,6.6
12125,2012,7.5
12125,2011,8.3
12127,2021,4.9
12127,2020,8.1
12127,2019,3.6
12127,2018,3.9
12127,2017,4.6
12127,2016,5.2
12127,2015,5.9
12127,2014,7.1
12127,2013,8.6
12127,2012,9.8
12127,2011,11.4
12129,2021,3.2
12129,2020,4.5
12129,2019,2.8
12129,2018,3.1
12129,2017,3.5
12129,2016,4.0
12129,2015,4.7
12129,2014,5.4
12129,2013,6.3
12129,2012,7.6
12129,2011,8.4
12131,2021,3.4
12131,2020,5.6
12131,2019,2.7
